kolejka,sezon,data meczu,miejsce rozgrywania,tsp,rywal,wynik,strzelcy,rozgrywki,frekwencja
21,2011/12,10.03.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Legia Warszawa,0-1,,Ekstraklasa,4 279
22,2011/12,18.03.2012,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,2-2,"Rafał Grodzicki 69 (s), Ondřej Šourek 81",Ekstraklasa,7 000
23,2011/12,24.03.2012,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,3-2,"Róbert Demjan 8, 67, Sylwester Patejuk 40",Ekstraklasa,10 525
24,2011/12,31.03.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,0-1,,Ekstraklasa,3 200
25,2011/12,04.04.2012,Kraków,Podbeskidzie Bielsko-Biała,Cracovia,1-3,Marek Sokołowski 17,Ekstraklasa,6 720
26,2011/12,14.04.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,1-1,Róbert Demjan 90,Ekstraklasa,3 055
27,2011/12,21.04.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,1-3,Liran Cohen 84,Ekstraklasa,4 279
28,2011/12,27.04.2012,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-3,,Ekstraklasa,3 000
29,2011/12,03.05.2012,Poznań,Podbeskidzie Bielsko-Biała,Lech Poznań,0-1,,Ekstraklasa,27 184
30,2011/12,06.05.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Warszawa,1-1,Sylwester Patejuk 90,Ekstraklasa,2 461
I runda,2012/13,11.08.2012,Poznań,Podbeskidzie Bielsko-Biała,Warta Poznań,0-1,,Puchar Polski,500
01,2012/13,18.08.2012,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,1-2,Fabian Pawela 1,Ekstraklasa,3 744
02,2012/13,25.08.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,1-1,Róbert Demjan 17,Ekstraklasa,3 200
03,2012/13,03.09.2012,Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,1-3,Róbert Demjan 12,Ekstraklasa,15 732
04,2012/13,14.09.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,1-1,Kamil Adamek 56,Ekstraklasa,2 922
05,2012/13,21.09.2012,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,1-2,Damian Chmiel 67,Ekstraklasa,6 143
06,2012/13,28.09.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,1-2,Róbert Demjan 16,Ekstraklasa,2 721
07,2012/13,06.10.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,1-3,Damian Chmiel 88,Ekstraklasa,2 850
08,2012/13,20.10.2012,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-2,Kamil Adamek 65,Ekstraklasa,1 628
09,2012/13,26.10.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,2-3,"Liran Cohen 60, Fabian Pawela 87",Ekstraklasa,2 920
10,2012/13,03.11.2012,Lubin,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,2-1,"Damian Chmiel 16, Liran Cohen 90",Ekstraklasa,6 349
11,2012/13,10.11.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Warszawa,0-1,,Ekstraklasa,2 980
12,2012/13,17.11.2012,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-1,,Ekstraklasa,4 250
13,2012/13,26.11.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,2-3,"Róbert Demjan 34, Kamil Adamek 85",Ekstraklasa,3 051
14,2012/13,01.12.2012,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-2,,Ekstraklasa,4 815
15,2012/13,09.12.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,2-2,"Fabian Pawela 58, Damian Chmiel 61",Ekstraklasa,2 606
16,2012/13,23.02.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,4-0,"Róbert Demjan 1, 82, Błażej Telichowski 17, Marek Sokołowski 66",Ekstraklasa,2 052
17,2012/13,04.03.2013,Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,0-0,,Ekstraklasa,10 153
18,2012/13,08.03.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Legia Warszawa,1-2,Róbert Demjan 73,Ekstraklasa,3 500
19,2012/13,17.03.2013,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,1-1,Anton Sloboda 66,Ekstraklasa,12 849
20,2012/13,28.03.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,1-1,Róbert Demjan 55,Ekstraklasa,2 100
21,2012/13,05.04.2013,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,3-1,"Marek Sokołowski 11, Róbert Demjan 49, 90",Ekstraklasa,4 300
22,2012/13,14.04.2013,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,1-0,Róbert Demjan 88,Ekstraklasa,3 000
23,2012/13,20.04.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-1,Fabian Pawela 69,Ekstraklasa,3 051
24,2012/13,27.04.2013,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,2-1,"Tomasz Górkiewicz 63, Damian Chmiel 74",Ekstraklasa,9 954
25,2012/13,03.05.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,1-1,Róbert Demjan 63,Ekstraklasa,2 800
26,2012/13,10.05.2013,Warszawa,Podbeskidzie Bielsko-Biała,Polonia Warszawa,1-2,Marcin Wodecki 45,Ekstraklasa,2 700
27,2012/13,18.05.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,1-2,Róbert Demjan 41,Ekstraklasa,3 000
28,2012/13,25.05.2013,Poznań,Podbeskidzie Bielsko-Biała,Lech Poznań,2-0,"Fabian Pawela 20, 45",Ekstraklasa,19 361
29,2012/13,30.05.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,2-1,"Bartłomiej Konieczny 1, Fabian Pawela 6",Ekstraklasa,3 050
30,2012/13,02.06.2013,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,2-1,"Damian Chmiel 11, Róbert Demjan 58",Ekstraklasa,7 000
01,2013/14,22.07.2013,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,2-2,"Marcin Wodecki 22, Błażej Telichowski 90",Ekstraklasa,11 645
02,2013/14,27.07.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,1-2,Łukasz Żegleń 70,Ekstraklasa,2 800
03,2013/14,03.08.2013,Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,0-4,,Ekstraklasa,11 926
04,2013/14,09.08.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,0-0,,Ekstraklasa,2 617
1/16 finału,2013/14,16.08.2013,Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,1-2 pd.,Błażej Telichowski 77,Puchar Polski,2 500
05,2013/14,24.08.2013,Bydgoszcz,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,2-2,"Marek Sokołowski 78, Marcin Wodecki 89",Ekstraklasa,4 863
06,2013/14,02.09.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,1-0,Piotr Malarczyk 62 (s),Ekstraklasa,2 700
07,2013/14,13.09.2013,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,1-1,Rudolf Urban 55,Ekstraklasa,5 049
08,2013/14,19.09.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,0-1,,Ekstraklasa,2 833
09,2013/14,23.09.2013,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,1-2,Marcin Robak 38 (s),Ekstraklasa,4 101
10,2013/14,27.09.2013,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-1,,Ekstraklasa,2 681
11,2013/14,05.10.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,0-0,,Ekstraklasa,3 561
12,2013/14,20.10.2013,Kraków,Podbeskidzie Bielsko-Biała,Cracovia,2-4,"Anton Sloboda 23, Rudolf Urban 46",Ekstraklasa,bez udziału publicznośći
13,2013/14,24.10.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-0,,Ekstraklasa,2 861
14,2013/14,31.10.2013,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-4,,Ekstraklasa,5 156
15,2013/14,04.11.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,0-0,,Ekstraklasa,3 283
16,2013/14,09.11.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,3-1,"Marek Sokołowski 43, Fabian Pawela 62, Aleksander Jagiełło 90",Ekstraklasa,3 051
17,2013/14,24.11.2013,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-2,,Ekstraklasa,2 983
18,2013/14,01.12.2013,Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,1-0,Aleksander Jagiełło 88,Ekstraklasa,3 651
19,2013/14,05.12.2013,Lubin,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,2-3,"Fabian Pawela 51, Anton Sloboda 90",Ekstraklasa,3 062
20,2013/14,08.12.2013,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,0-0,,Ekstraklasa,2 961
21,2013/14,14.12.2013,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,1-2,Fabian Pawela 55,Ekstraklasa,6 126
22,2013/14,14.02.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,1-0,Dariusz Kołodziej 81,Ekstraklasa,3 021
23,2013/14,21.02.2014,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-2,"Piotr Malinowski 6, Dariusz Kołodziej 90",Ekstraklasa,3 976
24,2013/14,03.03.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-0,,Ekstraklasa,2 951
25,2013/14,09.03.2014,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-0,,Ekstraklasa,4 629
26,2013/14,14.03.2014,Poznań,Podbeskidzie Bielsko-Biała,Lech Poznań,1-2,Przemysław Pietruszka 63,Ekstraklasa,18 923
27,2013/14,23.03.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Cracovia,1-1,Marek Sokołowski 61,Ekstraklasa,3 056
28,2013/14,28.03.2014,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,1-0,Marek Sokołowski 74,Ekstraklasa,6 200
29,2013/14,04.04.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,3-3,"Marek Sokołowski 24, 66, Jan Blažek 63",Ekstraklasa,3 000
30,2013/14,12.04.2014,Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,1-0,Michał Miśkiewicz 1 (s),Ekstraklasa,5 772
31,2013/14,25.04.2014,Kraków,Podbeskidzie Bielsko-Biała,Cracovia,1-0,Fabian Pawela 58,Ekstraklasa,6 393
32,2013/14,01.05.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-1,"Błażej Telichowski 50, Giorgi Popchadze 61 (s)",Ekstraklasa,3 054
33,2013/14,11.05.2014,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,2-3,"Dariusz Łatka 2, Mateusz Stąporski 71",Ekstraklasa,5 967
34,2013/14,17.05.2014,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-0,,Ekstraklasa,6 508
35,2013/14,22.05.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,3-0,"Dariusz Kołodziej 22, Damian Chmiel 59, Krzysztof Chrapek 90",Ekstraklasa,3 260
36,2013/14,27.05.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,2-0,"Krzysztof Chrapek 77, 87",Ekstraklasa,3 300
37,2013/14,31.05.2014,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-2,"Błażej Telichowski 51, Tomasz Górkiewicz 90",Ekstraklasa,5 953
01,2014/15,18.07.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,2-3,"Bartłomiej Konieczny 9, Marek Sokołowski 53",Ekstraklasa,3 250
02,2014/15,25.07.2014,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,0-1,,Ekstraklasa,14 641
03,2014/15,03.08.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,3-0,"Maciej Korzym 49, Tomasz Górkiewicz 59, Damian Chmiel 62",Ekstraklasa,3 201
04,2014/15,10.08.2014,Bydgoszcz,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,2-1,"Dariusz Kołodziej 49, Damian Chmiel 90",Ekstraklasa,1 873
05,2014/15,18.08.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-1,Sylwester Patejuk 72,Ekstraklasa,3 200
06,2014/15,23.08.2014,Kraków,Podbeskidzie Bielsko-Biała,Cracovia,3-1,"Maciej Korzym 17, Damian Chmiel 56, 79",Ekstraklasa,6 143
07,2014/15,31.08.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Legia Warszawa,2-1,"Anton Sloboda 8, Maciej Korzym 38",Ekstraklasa,3 500
08,2014/15,15.09.2014,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,1-2,Pavol Staňo 44,Ekstraklasa,6 142
09,2014/15,20.09.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-3,,Ekstraklasa,3 250
1/16 finału,2014/15,24.09.2014,Bydgoszcz,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,2-0,"Dariusz Pietrasiak 56, 71",Puchar Polski,1 000
10,2014/15,29.09.2014,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-4,"Róbert Demjan 52, 70",Ekstraklasa,5 775
11,2014/15,03.10.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,2-2,"Damian Chmiel 30, Krzysztof Chrapek 70",Ekstraklasa,3 200
12,2014/15,18.10.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,1-0,Róbert Demjan 68,Ekstraklasa,3 204
13,2014/15,24.10.2014,Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,2-3,"Maciej Iwański 38, 55",Ekstraklasa,10 709
1/8 finału,2014/15,28.10.2014,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,4-2,"Gracjan Horoszkiewicz 7, Maciej Mańka 38 (s), Maciej Korzym 66, Mariusz Magiera 70 (s)",Puchar Polski,2 000
14,2014/15,03.11.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-4,"Marek Sokołowski 67, 90",Ekstraklasa,3 150
15,2014/15,07.11.2014,Poznań,Podbeskidzie Bielsko-Biała,Lech Poznań,1-1,Bartosz Śpiączka 89,Ekstraklasa,12 991
16,2014/15,22.11.2014,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,2-1,"Damian Chmiel 9, Maciej Iwański 90",Ekstraklasa,4 314
17,2014/15,29.11.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,1-0,Pavol Staňo 43,Ekstraklasa,3 250
18,2014/15,08.12.2014,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-2,,Ekstraklasa,3 465
19,2014/15,14.12.2014,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,2-1,"Piotr Malinowski 33, Bartosz Śpiączka 71",Ekstraklasa,3 037
20,2014/15,14.02.2015,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,2-1,"Maciej Iwański 16, 37",Ekstraklasa,2 537
21,2014/15,20.02.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Cracovia,1-1,Maciej Iwański 79,Ekstraklasa,4 568
22,2014/15,01.03.2015,Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,0-3,,Ekstraklasa,12 690
ćwierćfinał,2014/15,04.03.2015,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-1,"Dariusz Kołodziej 64, Piotr Malinowski 67",Puchar Polski,2 103
23,2014/15,08.03.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,2-2,"Marek Sokołowski 24, Maciej Korzym 90",Ekstraklasa,4 875
24,2014/15,14.03.2015,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,3-3,"Damian Chmiel 35, 79, Bartosz Śpiączka 58",Ekstraklasa,2 648
ćwierćfinał,2014/15,19.03.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,1-0,Dariusz Kołodziej 45,Puchar Polski,2 873
25,2014/15,22.03.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,1-0,Róbert Demjan 90,Ekstraklasa,4 034
półfinał,2014/15,01.04.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Legia Warszawa,1-4,Maciej Korzym 84,Puchar Polski,5 877
26,2014/15,04.04.2015,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-0,,Ekstraklasa,8 149
półfinał,2014/15,08.04.2015,Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,0-2,,Puchar Polski,10 870
27,2014/15,13.04.2015,Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,0-0,,Ekstraklasa,3 192
28,2014/15,17.04.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,2-2,"Maciej Iwański 18, Tomasz Górkiewicz 41",Ekstraklasa,6 188
29,2014/15,26.04.2015,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-3,,Ekstraklasa,4 644
30,2014/15,29.04.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,0-2,,Ekstraklasa,5 632
31,2014/15,10.05.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,2-2,"Damian Chmiel 76, Maciej Iwański 88",Ekstraklasa,3 677
32,2014/15,16.05.2015,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,2-0,"Bartosz Śpiączka 13, Dariusz Kołodziej 77",Ekstraklasa,2 340
33,2014/15,19.05.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-2,,Ekstraklasa,4 563
34,2014/15,24.05.2015,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,1-2,Idrissa Cissé 90,Ekstraklasa,4 171
35,2014/15,29.05.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Cracovia,0-3,,Ekstraklasa,4 609
36,2014/15,02.06.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,1-0,Bartłomiej Konieczny 90,Ekstraklasa,3 738
37,2014/15,05.06.2015,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,1-3,Dariusz Kołodziej 45,Ekstraklasa,7 736
01,2015/16,18.07.2015,Lubin,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,1-1,Róbert Demjan 2,Ekstraklasa,4 835
02,2015/16,26.07.2015,Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,0-5,,Ekstraklasa,13 091
03,2015/16,01.08.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Cracovia,0-1,,Ekstraklasa,4 921
04,2015/16,10.08.2015,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,1-1,Mateusz Szczepaniak 85,Ekstraklasa,7 431
1/16 finału,2015/16,13.08.2015,Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,2-1 pd.,"Fabian Hiszpański 22, Kristián Kolčák 103",Puchar Polski,2 000
05,2015/16,17.08.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,2-3,"Damian Chmiel 51, Mateusz Szczepaniak 55",Ekstraklasa,4 770
06,2015/16,22.08.2015,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,1-1,Marek Sokołowski 49,Ekstraklasa,6 742
07,2015/16,28.08.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,1-1,Frank Adu Kwame 17,Ekstraklasa,5 035
08,2015/16,12.09.2015,Poznań,Podbeskidzie Bielsko-Biała,Lech Poznań,1-0,Mateusz Szczepaniak 57,Ekstraklasa,11 902
09,2015/16,19.09.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,0-6,,Ekstraklasa,6 517
1/8 finału,2015/16,22.09.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-1,,Puchar Polski,3 059
10,2015/16,26.09.2015,Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,2-1,"Adam Mójta 21, Mateusz Szczepaniak 55",Ekstraklasa,3 194
11,2015/16,03.10.2015,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,0-0,,Ekstraklasa,5 404
12,2015/16,17.10.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-2,"Mateusz Szczepaniak 30, Mateusz Możdżeń 52",Ekstraklasa,4 598
13,2015/16,26.10.2015,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,2-0,"Róbert Demjan 24, Adam Mójta 75",Ekstraklasa,6 321
14,2015/16,02.11.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,1-1,Adam Mójta 70,Ekstraklasa,3 528
15,2015/16,07.11.2015,Nieciecza,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-0,"Mateusz Możdżeń 49, Róbert Demjan 64",Ekstraklasa,1 367
16,2015/16,22.11.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,1-2,Róbert Demjan 41,Ekstraklasa,4 078
17,2015/16,29.11.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Legia Warszawa,2-2,"Róbert Demjan 6, Igor Lewczuk 86 (s)",Ekstraklasa,6 368
18,2015/16,02.12.2015,Kraków,Podbeskidzie Bielsko-Biała,Cracovia,1-4,Mateusz Szczepaniak 40,Ekstraklasa,6 486
19,2015/16,05.12.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,1-1,Dariusz Kołodziej 14,Ekstraklasa,5 372
20,2015/16,12.12.2015,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-2,,Ekstraklasa,3 562
21,2015/16,21.12.2015,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-1,,Ekstraklasa,3 543
22,2015/16,13.02.2016,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,0-5,,Ekstraklasa,9 587
23,2015/16,20.02.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,4-1,"Róbert Demjan 17, Marek Sokołowski 64, Mateusz Szczepaniak 80, Jakub Kowalski 88",Ekstraklasa,5 012
24,2015/16,27.02.2016,Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,2-1,"Mateusz Możdżeń 64, Samuel Štefánik 80",Ekstraklasa,10 057
25,2015/16,01.03.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,2-0,"Mateusz Szczepaniak 89, Džiugas Bartkus 90 (s)",Ekstraklasa,3 829
26,2015/16,04.03.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,1-1,Mateusz Szczepaniak 33,Ekstraklasa,4 652
27,2015/16,11.03.2016,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-3,"Kōhei Katō 9, Jozef Piaček 59",Ekstraklasa,4 584
28,2015/16,19.03.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-0,,Ekstraklasa,6 222
29,2015/16,04.04.2016,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,3-0,"Marek Wasiluk 14 (s), Guti 34 (s), Adam Mójta 76",Ekstraklasa,10 132
30,2015/16,09.04.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,2-0,"Adam Mójta 54, Mateusz Możdżeń 80",Ekstraklasa,6 359
31,2015/16,17.04.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,0-1,,Ekstraklasa,4 799
32,2015/16,20.04.2016,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-1,,Ekstraklasa,7 968
33,2015/16,23.04.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,1-2,Adam Mójta 67,Ekstraklasa,5 783
34,2015/16,01.05.2016,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-3,"Adam Mójta 17, Mateusz Szczepaniak 74",Ekstraklasa,7 453
35,2015/16,06.05.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,1-1,Paweł Baranowski 90,Ekstraklasa,5 888
36,2015/16,10.05.2016,Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,1-5,Adam Deja 80,Ekstraklasa,4 056
37,2015/16,14.05.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,3-4,"Róbert Demjan 17, Samuel Štefánik 28, 64",Ekstraklasa,5 650
01,2016/17,30.07.2016,Grudziądz,Podbeskidzie Bielsko-Biała,Olimpia Grudziądz,2-0,"Róbert Demjan 28, Tomasz Podgóski 52",I liga,1 200
02,2016/17,05.08.2016,Bytów,Podbeskidzie Bielsko-Biała,Bytovia Bytów,2-0,"Tomasz Podgórski 29, Róbert Demjan 89",I liga,850
1/16 finału,2016/17,09.08.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,0-3,,Puchar Polski,4 510
03,2016/17,12.08.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wigry Suwałki,1-1,Tomasz Podgórski 36,I liga,4 526
04,2016/17,20.08.2016,Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,2-0,"Róbert Demjan 13, Damian Chmiel 25",I liga,700
05,2016/17,24.08.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chojniczanka Chojnice,0-1,,I liga,5 059
06,2016/17,27.08.2016,Olsztyn,Podbeskidzie Bielsko-Biała,Stomil Olsztyn,0-1,,I liga,2 620
07,2016/17,02.09.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,0-2,,I liga,6 685
08,2016/17,10.09.2016,Pruszków,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-0,Paweł Tarnowski 59,I liga,700
09,2016/17,16.09.2016,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Sosnowiec,4-5,"Paweł Tarnowski 2, Daniel Feruga 53, Łukasz Sierpina 61, Róbert Demjan 76",I liga,5 621
